ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
subjectkey,GUID,0,,Required,"The NDAR Global Unique Identifier (GUID) for subjects which identifies a subject in NDAR","NDAR*",,"","Header","GUID"
src_subject_id,String,20,,Required,"The site's subject identification","",,"","Header","Ados1_2001_SRC_Subject_ID,IndividualID,ID"
interview_date,Date,0,,Required,"Date on which the interview/genetic test/sampling/imaging was completed","MM/yyyy;MM/dd/yyyy",,"* '01/01/1900' indicates that a date associated with retrospective data is not known.","Header","Ados1_2001_interview_date,Date,ados_date"
interview_age,Integer,0,,Required,"Age in months at the time of the interview/test/sampling/imaging.","0 to 1200",,"Age is rounded to chronological month If the research participant is 13 days old at time of interview  the appropriate value would be 0 months if the participant is 19 days old the value would be 1 month","Header","ados_age,CA,Ados1_2001_interview_age"
comments_misc,String,255,,Optional,"Miscellaneous comments on study, interview, methodology relevant to this form data","",,"","Header","Ados1_2001_comments_misc,Comm"
gender,String,50,,Required,"Gender","M;F",,"","Header","Gender,Ados1_2001_gender"
observation_a_1,String,255,,Recommended,"Free Play","",,"","Observation","Ados1_2001_Observation_1"
observation_a_1_1,String,255,,Recommended,"Free Play Communication Sample","",,"","Observation","Ados1_2001_Observation_1_1"
observation_a_2,String,255,,Recommended,"Response to Name","",,"","Observation","Ados1_2001_Observation_2"
observation_a_3,String,255,,Recommended,"Response to Joint Attention","",,"","Observation","Ados1_2001_Observation_3"
observation_a_4,String,255,,Recommended,"Bubble Play","",,"","Observation","Ados1_2001_Observation_4"
observation_a_5,String,255,,Recommended,"Anticipation of a Routine With Objects","",,"","Observation","Ados1_2001_Observation_5"
observation_a_6,String,255,,Recommended,"Responsive Social Smile","",,"","Observation","Ados1_2001_Observation_6"
observation_a_7,String,255,,Recommended,"Anticipation of a Social Routine","",,"","Observation","Ados1_2001_Observation_7"
observation_a_8,String,255,,Recommended,"Functional and Symbolic Imitation","",,"","Observation","Ados1_2001_Observation_8"
observation_a_8_1,String,255,,Recommended,"pointing with index finger","Yes;No",,"","Observation","Ados1_2001_Observation_8_1"
observation_a_8_2,String,255,,Recommended,"open-handed reach","Yes;No",,"","Observation","Ados1_2001_Observation_8_2"
observation_a_8_3,String,255,,Recommended,"other gesture","Yes;No",,"","Observation","Ados1_2001_Observation_8_3"
observation_a_8_3_cmt,String,255,,Recommended,"specify:","",,"","Observation","Ados1_2001_Observation_8_3_CMT"
observation_a_8_4,String,255,,Recommended,"vocalization:","Yes;No",,"","Observation","Ados1_2001_Observation_8_4"
observation_a_8_4_1,String,255,,Recommended,"words","Yes;No",,"","Observation","Ados1_2001_Observation_8_4_1"
observation_a_8_4_2,String,255,,Recommended,"nonverbal","Yes;No",,"","Observation","Ados1_2001_Observation_8_4_2"
observation_a_8_5,String,255,,Recommended,"eye contact:","Yes;No",,"","Observation","Ados1_2001_Observation_8_5"
observation_a_8_5_1,String,255,,Recommended,"alone","Yes;No",,"","Observation","Ados1_2001_Observation_8_5_1"
observation_a_8_5_2,String,255,,Recommended,"with vocalization","Yes;No",,"","Observation","Ados1_2001_Observation_8_5_2"
observation_a_8_6,String,255,,Recommended,"mechanical animal","Yes;No",,"","Observation","Ados1_2001_Observation_8_6"
observation_a_8_7,String,255,,Recommended,"balloon","Yes;No",,"","Observation","Ados1_2001_Observation_8_7"
observation_a_8_8,String,255,,Recommended,"bubbles","Yes;No",,"","Observation","Ados1_2001_Observation_8_8"
observation_a_8_9,String,255,,Recommended,"other","Yes;No",,"","Observation","Ados1_2001_Observation_8_9"
observation_a_8_9_cmt,String,255,,Recommended,"specify:","",,"","Observation","Ados1_2001_Observation_8_9_CMT"
